Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,07:44:15,1549,4,11,6,---,---,
Starboard Temperature,07:44:52,1549,4,11,6,---,---,
Starboard Temperature,07:45:29,1549,4,11,6,---,---,
Starboard Temperature,07:46:06,1549,4,11,6,---,---,
Starboard Temperature,07:46:43,1550,0,11,6,---,---,
Starboard Temperature,07:47:20,1549,3,11,6,---,---,
Starboard Temperature,07:47:57,1549,2,11,7,---,---,
Starboard Temperature,07:48:36,1550,0,11,6,---,---,
Starboard Temperature,07:49:12,1549,4,11,7,---,---,
Starboard Temperature,07:49:50,1549,3,11,6,---,---,
Starboard Temperature,07:50:27,1549,3,11,6,---,---,
Starboard Temperature,07:51:04,1549,3,11,6,---,---,
Starboard Temperature,07:51:41,1549,3,11,6,---,---,
Starboard Temperature,07:52:18,1549,5,11,6,---,---,
Starboard Temperature,07:52:58,1549,2,11,6,---,---,
Starboard Temperature,07:53:35,1549,0,11,6,---,---,
Starboard Temperature,07:54:12,1549,2,11,6,---,---,
Starboard Temperature,07:54:49,1549,0,11,6,---,---,
Starboard Temperature,07:55:25,1549,4,11,6,---,---,
Starboard Temperature,07:56:03,1549,2,11,6,---,---,
Starboard Temperature,07:56:40,1549,0,11,6,---,---,
Starboard Temperature,07:57:18,1549,5,11,6,---,---,
Starboard Temperature,07:57:55,1548,9,11,6,---,---,
Starboard Temperature,07:58:32,1549,4,11,6,---,---,
Starboard Temperature,07:59:09,1549,3,11,5,---,---,
Starboard Temperature,07:59:46,1549,3,11,6,---,---,
Starboard Temperature,08:00:23,1549,5,11,5,---,---,
Starboard Temperature,08:01:01,1550,1,11,5,---,---,
Starboard Temperature,08:01:38,1549,6,11,5,---,---,
Starboard Temperature,08:02:15,1549,9,11,5,---,---,
Starboard Temperature,08:02:52,1550,1,11,5,---,---,
Starboard Temperature,08:03:29,1549,7,11,5,---,---,
Starboard Temperature,08:04:06,1549,6,11,5,---,---,
Starboard Temperature,08:04:43,1549,6,11,5,---,---,
Starboard Temperature,08:05:20,1549,8,11,5,---,---,
Starboard Temperature,08:05:57,1550,1,11,5,---,---,
Starboard Temperature,08:06:34,1549,8,11,5,---,---,
Starboard Temperature,08:07:11,1549,7,11,5,---,---,
Starboard Temperature,08:07:49,1550,2,11,5,---,---,
Starboard Temperature,08:08:26,1549,6,11,5,---,---,
Starboard Temperature,08:09:03,1549,9,11,5,---,---,
Starboard Temperature,08:09:40,1549,8,11,5,---,---,
Starboard Temperature,08:10:17,1550,0,11,5,---,---,
Starboard Temperature,08:10:54,1549,8,11,5,---,---,
Starboard Temperature,08:11:31,1550,1,11,5,---,---,
Starboard Temperature,08:12:08,1550,1,11,5,---,---,
Starboard Temperature,08:12:45,1550,0,11,4,---,---,
Starboard Temperature,08:13:23,1549,9,11,4,---,---,
Starboard Temperature,08:14:00,1549,9,11,4,---,---,
