Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,08:20:17,16,9,Off,---,---,---,---,
D20C,08:20:45,10,5,Off,---,---,---,---,
D20C,08:21:17,---,---,---,---,---,---,
D20C,08:21:47,---,---,---,---,---,---,
D20C,08:22:16,---,---,---,---,---,---,
D20C,08:22:46,---,---,---,---,---,---,
D20C,08:23:15,---,---,---,---,---,---,
D20C,08:23:44,---,---,---,---,---,---,
D20C,08:24:14,---,---,---,---,---,---,
D20C,08:24:43,---,---,---,---,---,---,
D20C,08:25:12,---,---,---,---,---,---,
D20C,08:25:42,---,---,---,---,---,---,
D20C,08:26:11,---,---,---,---,---,---,
D20C,08:26:41,---,---,---,---,---,---,
D20C,08:27:10,---,---,---,---,---,---,
D20C,08:27:39,---,---,---,---,---,---,
D20C,08:28:05,938,0,On,---,---,---,---,
D20C,08:28:35,---,---,---,---,---,---,
D20C,08:29:05,---,---,---,---,---,---,
D20C,08:29:33,---,---,---,---,---,---,
D20C,08:29:58,---,Off,---,---,---,---,
D20C,08:30:23,150,8,Off,---,---,---,---,
D20C,08:30:52,---,---,---,---,---,---,
D20C,08:31:19,---,---,---,---,---,---,
D20C,08:31:44,---,---,---,---,---,---,
D20C,08:32:06,284,1,---,---,---,---,---,
D20C,08:32:32,---,---,---,---,---,---,
D20C,08:32:57,---,---,---,---,---,---,
D20C,08:33:21,---,---,---,---,---,---,
D20C,08:33:45,---,---,---,---,---,---,
D20C,08:34:11,---,---,---,---,---,---,
D20C,08:34:37,---,---,---,---,---,---,
D20C,08:35:05,---,---,---,---,---,---,
D20C,08:35:27,---,---,---,---,---,---,
D20C,08:35:52,868,5,Off,---,---,---,---,
D20C,08:36:15,891,0,Off,---,---,---,---,
D20C,08:36:43,---,---,---,---,---,---,
D20C,08:37:04,886,7,Off,---,---,---,---,
D20C,08:37:28,891,1,Off,---,---,---,---,
D20C,08:37:53,895,3,Off,---,---,---,---,
D20C,08:38:20,---,---,---,---,---,---,
D20C,08:38:44,897,7,Off,---,---,---,---,
D20C,08:39:10,899,4,Off,---,---,---,---,
D20C,08:39:33,899,8,Off,---,---,---,---,
D20C,08:39:57,899,7,Off,---,---,---,---,
D20C,08:40:22,899,1,Off,---,---,---,---,
D20C,08:40:46,898,2,Off,---,---,---,---,
D20C,08:41:10,899,1,Off,---,---,---,---,
D20C,08:41:34,898,4,Off,---,---,---,---,
D20C,08:41:57,899,1,Off,---,---,---,---,
D20C,08:42:25,---,---,---,---,---,---,
D20C,08:42:47,905,1,---,---,---,---,---,
D20C,08:43:08,899,7,Off,---,---,---,---,
D20C,08:43:31,899,3,Off,---,---,---,---,
D20C,08:43:54,898,9,Off,---,---,---,---,
D20C,08:44:18,899,7,Off,---,---,---,---,
