Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,17:34:06,---,Off,---,---,---,---,
D20C,17:34:32,583,0,---,---,---,---,---,
D20C,17:34:52,582,1,Off,---,---,---,---,
D20C,17:35:16,582,2,Off,---,---,---,---,
D20C,17:35:40,581,7,Off,---,---,---,---,
D20C,17:36:03,582,0,Off,---,---,---,---,
D20C,17:36:27,581,5,Off,---,---,---,---,
D20C,17:36:53,---,---,---,---,---,---,
D20C,17:37:19,---,---,---,---,---,---,
D20C,17:37:39,581,9,Off,---,---,---,---,
D20C,17:38:03,581,9,Off,---,---,---,---,
D20C,17:38:25,581,6,Off,---,---,---,---,
D20C,17:38:50,581,9,Off,---,---,---,---,
D20C,17:39:14,582,4,Off,---,---,---,---,
D20C,17:39:40,581,9,Off,---,---,---,---,
D20C,17:40:07,581,9,---,---,---,---,---,
D20C,17:40:27,582,1,Off,---,---,---,---,
D20C,17:40:50,582,4,Off,---,---,---,---,
D20C,17:41:12,581,9,Off,---,---,---,---,
D20C,17:41:35,583,0,Off,---,---,---,---,
D20C,17:42:00,583,5,Off,---,---,---,---,
D20C,17:42:23,582,2,Off,---,---,---,---,
D20C,17:42:48,581,9,Off,---,---,---,---,
D20C,17:43:13,582,9,Off,---,---,---,---,
D20C,17:43:36,581,7,Off,---,---,---,---,
D20C,17:43:58,582,2,Off,---,---,---,---,
D20C,17:44:21,582,0,Off,---,---,---,---,
D20C,17:44:49,581,3,Off,---,---,---,---,
D20C,17:45:11,583,1,Off,---,---,---,---,
D20C,17:45:36,581,9,Off,---,---,---,---,
D20C,17:46:01,582,5,Off,---,---,---,---,
D20C,17:46:25,582,7,Off,---,---,---,---,
D20C,17:46:50,582,8,Off,---,---,---,---,
D20C,17:47:14,583,0,Off,---,---,---,---,
D20C,17:47:39,582,2,Off,---,---,---,---,
D20C,17:48:04,582,8,Off,---,---,---,---,
D20C,17:48:27,582,9,Off,---,---,---,---,
D20C,17:48:49,583,4,Off,---,---,---,---,
D20C,17:49:12,582,6,Off,---,---,---,---,
D20C,17:49:37,582,0,Off,---,---,---,---,
D20C,17:50:02,582,4,Off,---,---,---,---,
D20C,17:50:27,582,6,Off,---,---,---,---,
D20C,17:50:50,582,7,Off,---,---,---,---,
D20C,17:51:12,582,5,Off,---,---,---,---,
D20C,17:51:40,---,---,---,---,---,---,
D20C,17:52:03,582,4,Off,---,---,---,---,
D20C,17:52:25,581,8,Off,---,---,---,---,
D20C,17:52:52,---,---,---,---,---,---,
D20C,17:53:12,582,3,Off,---,---,---,---,
D20C,17:53:35,582,5,Off,---,---,---,---,
D20C,17:54:00,581,8,Off,---,---,---,---,
D20C,17:54:22,582,2,Off,---,---,---,---,
D20C,17:54:47,584,1,Off,---,---,---,---,
D20C,17:55:13,582,4,Off,---,---,---,---,
D20C,17:55:36,582,7,Off,---,---,---,---,
D20C,17:56:00,582,1,Off,---,---,---,---,
D20C,17:56:24,582,6,Off,---,---,---,---,
D20C,17:56:48,582,0,Off,---,---,---,---,
D20C,17:57:12,582,6,Off,---,---,---,---,
D20C,17:57:42,---,---,---,---,---,---,
D20C,17:58:05,582,4,Off,---,---,---,---,
D20C,17:58:28,582,3,---,---,---,---,---,
D20C,17:58:52,581,7,Off,---,---,---,---,
D20C,17:59:17,581,7,Off,---,---,---,---,
D20C,17:59:45,---,---,---,---,---,---,
D20C,18:00:06,582,4,Off,---,---,---,---,
D20C,18:00:31,582,7,Off,---,---,---,---,
D20C,18:00:56,581,8,Off,---,---,---,---,
D20C,18:01:19,582,4,Off,---,---,---,---,
D20C,18:01:41,582,2,Off,---,---,---,---,
D20C,18:02:07,582,4,Off,---,---,---,---,
D20C,18:02:29,583,3,Off,---,---,---,---,
D20C,18:02:52,582,7,Off,---,---,---,---,
D20C,18:03:15,582,9,Off,---,---,---,---,
D20C,18:03:38,582,7,Off,---,---,---,---,
D20C,18:04:02,583,7,---,---,---,---,---,
D20C,18:04:22,582,7,Off,---,---,---,---,
D20C,18:04:49,582,5,---,---,---,---,---,
