[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 16:17:27
Tow Date: 15-sep-2013 10:39:47


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,13:06:20,674,3,28,9,---,---,---,---,
C56S,13:06:44,674,0,27,7,---,---,---,---,
C56S,13:07:10,674,1,27,6,---,---,---,---,
C56S,13:07:37,673,9,26,9,---,---,---,---,
C56S,13:08:03,673,8,26,6,---,---,---,---,
C56S,13:08:29,674,2,26,9,---,---,---,---,
C56S,13:08:55,673,9,27,5,---,---,---,---,
C56S,13:09:20,674,1,28,1,---,---,---,---,
C56S,13:09:45,674,5,27,3,---,---,---,---,
C56S,13:10:10,674,4,26,8,---,---,---,---,
C56S,13:10:35,674,0,26,5,---,---,---,---,
C56S,13:11:00,674,3,27,0,---,---,---,---,
C56S,13:11:26,674,4,26,5,---,---,---,---,
C56S,13:11:51,674,3,26,7,---,---,---,---,
C56S,13:12:16,674,0,26,9,---,---,---,---,
C56S,13:12:42,674,9,27,2,---,---,---,---,
C56S,13:13:07,674,4,26,6,---,---,---,---,
C56S,13:13:32,674,4,26,3,---,---,---,---,
C56S,13:13:57,674,3,26,1,---,---,---,---,
C56S,13:14:22,674,2,26,8,---,---,---,---,
C56S,13:14:47,674,3,27,6,---,---,---,---,
C56S,13:15:12,674,0,26,3,---,---,---,---,
C56S,13:15:37,674,3,26,2,---,---,---,---,
C56S,13:16:02,674,1,26,1,---,---,---,---,
C56S,13:16:27,674,1,26,3,---,---,---,---,
C56S,13:16:52,673,9,26,6,---,---,---,---,
C56S,13:17:17,673,9,26,6,---,---,---,---,
C56S,13:17:42,674,0,27,3,---,---,---,---,
C56S,13:18:07,674,1,26,5,---,---,---,---,
C56S,13:18:31,673,9,27,1,---,---,---,---,
C56S,13:18:56,674,2,26,8,---,---,---,---,
C56S,13:19:23,674,1,26,5,---,---,---,---,
C56S,13:19:48,674,1,26,5,---,---,---,---,
C56S,13:20:14,674,0,25,7,---,---,---,---,
C56S,13:20:41,674,4,25,7,---,---,---,---,
C56S,13:21:07,674,2,26,6,---,---,---,---,
C56S,13:21:34,674,0,27,2,---,---,---,---,
C56S,13:22:00,674,2,26,7,---,---,---,---,
C56S,13:22:27,674,2,26,6,---,---,---,---,
C56S,13:22:51,674,0,26,3,---,---,---,---,
C56S,13:23:16,674,3,26,6,---,---,---,---,
C56S,13:23:41,673,9,27,0,---,---,---,---,
C56S,13:24:06,674,2,27,0,---,---,---,---,
C56S,13:24:31,674,4,25,7,---,---,---,---,
C56S,13:24:57,674,1,25,0,---,---,---,---,
C56S,13:25:24,674,2,26,3,---,---,---,---,
C56S,13:25:50,674,1,26,3,---,---,---,---,
C56S,13:26:17,674,5,26,0,---,---,---,---,
C56S,13:26:43,674,2,25,6,---,---,---,---,
C56S,13:27:10,674,1,26,0,---,---,---,---,
C56S,13:27:36,673,9,26,3,---,---,---,---,
C56S,13:28:01,674,2,26,6,---,---,---,---,
C56S,13:28:26,674,1,27,1,---,---,---,---,
C56S,13:28:52,674,2,26,1,---,---,---,---,
C56S,13:29:19,674,2,27,6,---,---,---,---,
C56S,13:29:44,674,2,26,0,---,---,---,---,
C56S,13:30:09,673,9,25,6,---,---,---,---,
C56S,13:30:34,675,0,25,1,---,---,---,---,
C56S,13:30:59,674,7,25,0,---,---,---,---,
C56S,13:31:26,674,5,24,8,---,---,---,---,
C56S,13:31:51,674,2,24,8,---,---,---,---,
C56S,13:32:15,674,4,25,0,---,---,---,---,
C56S,13:32:40,674,0,25,6,---,---,---,---,
C56S,13:33:05,674,4,26,3,---,---,---,---,
C56S,13:33:30,674,3,27,0,---,---,---,---,
C56S,13:33:54,674,3,26,5,---,---,---,---,
C56S,13:34:19,674,8,26,1,---,---,---,---,
C56S,13:34:44,674,2,26,7,---,---,---,---,
C56S,13:35:11,674,4,26,6,---,---,---,---,
C56S,13:35:37,674,3,27,0,---,---,---,---,
C56S,13:36:02,674,6,26,6,---,---,---,---,
C56S,13:36:27,674,2,26,5,---,---,---,---,
C56S,13:36:53,674,9,26,3,---,---,---,---,
C56S,13:37:18,674,1,26,6,---,---,---,---,
C56S,13:37:43,674,7,25,5,---,---,---,---,
C56S,13:38:08,674,3,25,6,---,---,---,---,
C56S,13:38:34,675,2,25,9,---,---,---,---,
C56S,13:38:59,675,0,26,3,---,---,---,---,
C56S,13:39:25,674,3,26,4,---,---,---,---,
C56S,13:39:49,674,2,25,8,---,---,---,---,
