[NOTUS TEXTFILE V3.3]
File Created: 13-nov-2019 19:22:49
Tow Date: 14-sep-2011 2:28:20


Transponder: E48D
Placement: Estribor
Depth Calibration: 1500

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E48D,02:28:28,---,---,---,---,---,---,
E48D,04:02:14,1106,9,287,6,---,---,---,---,
E48D,04:02:38,1107,0,285,6,---,---,---,---,
E48D,04:03:01,1106,9,284,1,---,---,---,---,
E48D,04:03:25,1106,8,283,1,---,---,---,---,
E48D,04:03:49,1107,5,281,3,---,---,---,---,
E48D,04:04:12,---,279,6,---,---,---,---,
E48D,04:04:38,---,---,---,---,---,---,
E48D,04:05:08,---,---,---,---,---,---,
E48D,04:05:34,993,1,280,7,---,---,---,---,
E48D,04:05:59,998,0,277,5,---,---,---,---,
E48D,04:06:23,999,0,277,5,---,---,---,---,
E48D,04:06:46,998,9,276,1,---,---,---,---,
E48D,04:07:10,999,1,276,3,---,---,---,---,
E48D,04:07:34,999,6,274,6,---,---,---,---,
E48D,04:07:57,999,6,272,5,---,---,---,---,
E48D,04:08:21,999,7,272,5,---,---,---,---,
E48D,04:08:45,999,8,271,0,---,---,---,---,
E48D,04:09:08,999,5,270,7,---,---,---,---,
E48D,04:09:32,999,6,269,2,---,---,---,---,
E48D,04:09:55,999,8,267,6,---,---,---,---,
E48D,04:10:19,999,7,266,9,---,---,---,---,
E48D,04:10:43,999,7,267,1,---,---,---,---,
E48D,04:11:06,999,9,265,4,---,---,---,---,
E48D,04:11:30,999,7,264,6,---,---,---,---,
E48D,04:11:53,1000,0,264,0,---,---,---,---,
E48D,04:12:17,999,8,263,3,---,---,---,---,
E48D,04:12:41,999,5,263,6,---,---,---,---,
E48D,04:13:04,1000,1,263,2,---,---,---,---,
E48D,04:13:28,1000,0,262,1,---,---,---,---,
E48D,04:13:53,1000,0,261,0,---,---,---,---,
E48D,04:14:17,1000,5,258,7,---,---,---,---,
E48D,04:14:40,1000,1,258,9,---,---,---,---,
E48D,04:15:04,1000,4,258,1,---,---,---,---,
E48D,04:15:27,1001,8,256,2,---,---,---,---,
E48D,04:15:51,1000,3,256,0,---,---,---,---,
E48D,04:16:14,1000,4,255,6,---,---,---,---,
E48D,04:16:38,1000,5,253,6,---,---,---,---,
E48D,04:17:02,1000,4,253,7,---,---,---,---,
E48D,04:17:25,1000,7,252,6,---,---,---,---,
E48D,04:17:49,1000,6,251,4,---,---,---,---,
E48D,04:18:12,1000,9,250,2,---,---,---,---,
E48D,04:18:36,1000,6,249,2,---,---,---,---,
E48D,04:19:00,1000,5,248,1,---,---,---,---,
E48D,04:19:23,1000,9,247,9,---,---,---,---,
E48D,04:19:47,1000,6,247,1,---,---,---,---,
E48D,04:20:10,1001,1,244,0,---,---,---,---,
E48D,04:20:34,1001,1,243,1,---,---,---,---,
E48D,04:20:57,1001,1,240,8,---,---,---,---,
E48D,04:21:21,1001,1,238,6,---,---,---,---,
E48D,04:21:47,1001,3,237,2,---,---,---,---,
E48D,04:22:11,1001,1,234,9,---,---,---,---,
E48D,04:22:35,1001,2,232,6,---,---,---,---,
E48D,04:22:58,1001,0,231,6,---,---,---,---,
E48D,04:23:22,1000,8,230,4,---,---,---,---,
E48D,04:23:45,1001,4,228,8,---,---,---,---,
E48D,04:24:09,1001,1,226,8,---,---,---,---,
E48D,04:24:33,---,---,---,---,---,---,
E48D,04:25:02,---,---,---,---,---,---,
E48D,04:25:29,820,4,---,---,---,---,---,
E48D,04:25:56,---,---,---,---,---,---,
E48D,04:26:19,611,3,---,---,---,---,---,
E48D,04:26:40,---,226,1,---,---,---,---,
E48D,04:27:04,482,2,225,3,---,---,---,---,
E48D,04:27:29,473,0,227,9,---,---,---,---,
E48D,04:27:53,---,227,3,---,---,---,---,
E48D,04:28:17,562,4,226,9,---,---,---,---,
E48D,04:28:40,---,227,9,---,---,---,---,
E48D,04:29:03,684,4,---,---,---,---,---,
E48D,04:29:26,---,224,4,---,---,---,---,
E48D,04:29:51,796,1,226,4,---,---,---,---,
E48D,04:30:16,---,224,2,---,---,---,---,
E48D,04:30:42,---,---,---,---,---,---,
E48D,04:31:04,935,4,206,1,---,---,---,---,
E48D,04:31:27,957,6,196,3,---,---,---,---,
E48D,04:31:53,973,3,189,4,---,---,---,---,
E48D,04:32:16,982,6,185,4,---,---,---,---,
E48D,04:32:40,988,5,182,4,---,---,---,---,
E48D,04:33:03,992,9,180,7,---,---,---,---,
E48D,04:33:28,996,1,180,9,---,---,---,---,
E48D,04:33:53,999,4,182,0,---,---,---,---,
E48D,04:34:19,1002,8,181,9,---,---,---,---,
E48D,04:34:44,1005,0,183,9,---,---,---,---,
E48D,04:35:09,1006,9,188,2,---,---,---,---,
E48D,04:35:32,1008,4,190,5,---,---,---,---,
E48D,04:35:56,1015,7,196,1,---,---,---,---,
E48D,04:36:21,1028,9,204,2,---,---,---,---,
E48D,04:36:45,1029,6,205,5,---,---,---,---,
E48D,04:37:10,1043,4,215,2,---,---,---,---,
E48D,04:37:34,1053,6,218,8,---,---,---,---,
E48D,04:37:57,1056,0,222,0,---,---,---,---,
E48D,04:38:21,1068,8,228,9,---,---,---,---,
E48D,04:38:45,1072,5,232,1,---,---,---,---,
E48D,04:39:08,1071,9,234,9,---,---,---,---,
E48D,04:39:32,1082,6,243,5,---,---,---,---,
E48D,04:39:56,1087,6,248,0,---,---,---,---,
E48D,04:40:19,1088,4,249,2,---,---,---,---,
E48D,04:40:43,1087,6,250,3,---,---,---,---,
E48D,04:41:07,1088,3,252,5,---,---,---,---,
E48D,04:41:30,1089,5,254,2,---,---,---,---,
E48D,04:41:54,1098,4,253,9,---,---,---,---,
E48D,04:42:17,1106,2,255,0,---,---,---,---,
E48D,04:42:41,1106,4,256,2,---,---,---,---,
E48D,04:43:05,1106,5,257,2,---,---,---,---,
E48D,04:43:28,1106,6,257,4,---,---,---,---,
E48D,04:43:51,1106,7,259,6,---,---,---,---,
E48D,04:44:15,1106,8,259,5,---,---,---,---,
E48D,04:44:39,1107,2,262,1,---,---,---,---,
E48D,04:45:03,1107,5,261,9,---,---,---,---,
E48D,04:45:26,1107,1,263,3,---,---,---,---,
E48D,04:45:50,1107,6,263,2,---,---,---,---,
E48D,04:46:14,1107,5,263,1,---,---,---,---,
E48D,04:46:39,1107,4,264,5,---,---,---,---,
E48D,04:47:02,1107,7,265,6,---,---,---,---,
E48D,04:47:25,1107,5,266,5,---,---,---,---,
E48D,04:47:49,1107,4,266,5,---,---,---,---,
E48D,04:48:13,1107,2,268,0,---,---,---,---,
E48D,04:48:36,1107,4,269,1,---,---,---,---,
E48D,04:49:00,1107,6,270,3,---,---,---,---,
E48D,04:49:24,1107,1,272,7,---,---,---,---,
E48D,04:49:47,1107,1,272,9,---,---,---,---,
E48D,04:50:11,1107,2,274,9,---,---,---,---,
E48D,04:50:35,1106,9,275,1,---,---,---,---,
E48D,04:50:58,1106,9,276,7,---,---,---,---,
E48D,04:51:22,1107,0,275,8,---,---,---,---,
E48D,04:51:46,1106,8,276,9,---,---,---,---,
E48D,04:52:09,1106,9,278,2,---,---,---,---,
E48D,04:52:33,1106,8,280,2,---,---,---,---,
E48D,04:52:57,1106,9,280,7,---,---,---,---,
E48D,04:53:20,1106,7,281,9,---,---,---,---,
E48D,04:53:44,1106,7,281,7,---,---,---,---,
E48D,04:54:07,1106,9,284,3,---,---,---,---,
E48D,04:54:31,1106,8,286,1,---,---,---,---,
E48D,04:54:55,1106,9,286,7,---,---,---,---,
E48D,04:55:18,1106,6,288,9,---,---,---,---,
E48D,04:55:42,1106,9,294,8,---,---,---,---,
E48D,04:56:05,1106,4,291,5,---,---,---,---,
E48D,04:56:29,1106,5,294,6,---,---,---,---,
E48D,04:56:53,1106,6,295,2,---,---,---,---,
E48D,04:57:16,1107,2,295,5,---,---,---,---,
E48D,04:57:40,1106,5,295,0,---,---,---,---,
E48D,04:58:04,1106,6,295,2,---,---,---,---,
E48D,04:58:27,1106,7,294,8,---,---,---,---,
E48D,04:58:51,1106,6,296,3,---,---,---,---,
E48D,04:59:14,1107,1,297,1,---,---,---,---,
E48D,04:59:38,1106,6,297,2,---,---,---,---,
E48D,05:00:02,1106,7,299,7,---,---,---,---,
E48D,05:00:25,1106,8,299,6,---,---,---,---,
E48D,05:00:49,1106,8,301,3,---,---,---,---,
E48D,05:01:13,1106,6,301,0,---,---,---,---,
E48D,05:01:36,1106,9,300,5,---,---,---,---,
E48D,05:02:00,1106,6,302,3,---,---,---,---,
E48D,05:02:23,1106,7,301,8,---,---,---,---,
E48D,05:02:47,1106,6,303,4,---,---,---,---,
E48D,05:03:11,1106,6,304,4,---,---,---,---,
E48D,05:03:34,1106,7,304,3,---,---,---,---,
E48D,05:03:58,1106,7,304,2,---,---,---,---,
E48D,05:04:22,1106,8,304,3,---,---,---,---,
E48D,05:04:45,1106,4,305,6,---,---,---,---,
E48D,05:05:09,1106,5,304,3,---,---,---,---,
E48D,05:05:33,1106,6,305,3,---,---,---,---,
E48D,05:05:56,1106,4,305,9,---,---,---,---,
E48D,05:06:20,1106,3,304,3,---,---,---,---,
E48D,05:06:43,1106,6,305,1,---,---,---,---,
E48D,05:07:07,1106,6,304,2,---,---,---,---,
E48D,05:07:31,1106,6,305,4,---,---,---,---,
E48D,05:07:54,1106,6,305,3,---,---,---,---,
E48D,05:08:18,1106,5,305,6,---,---,---,---,
E48D,05:08:42,1106,5,305,5,---,---,---,---,
