Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,08:25:28,---,---,---,---,---,---,
Capturas 1,08:25:52,---,---,---,---,---,---,
Capturas 1,08:26:17,---,---,---,---,---,---,
Capturas 1,08:26:43,---,---,---,---,---,---,
Capturas 1,08:27:08,---,---,---,---,---,---,
Capturas 1,08:27:33,---,---,---,---,---,---,
Capturas 1,08:28:00,---,---,---,---,---,---,
Capturas 1,08:28:26,---,---,---,---,---,---,
Capturas 1,08:28:53,---,---,---,---,---,---,
Capturas 1,08:29:20,---,---,---,---,---,---,
Capturas 1,08:29:44,---,---,---,---,---,---,
Capturas 1,08:30:09,---,---,---,---,---,---,
Capturas 1,08:30:33,---,---,---,---,---,---,
Capturas 1,08:30:56,---,---,---,---,---,---,
Capturas 1,08:31:22,---,---,---,---,---,---,
Capturas 1,08:31:47,---,---,---,---,---,---,
Capturas 1,08:32:12,---,---,---,---,---,---,
Capturas 1,08:32:39,---,---,---,---,---,---,
Capturas 1,08:33:04,---,---,---,---,---,---,
Capturas 1,08:33:29,---,---,---,---,---,---,
Capturas 1,08:33:56,---,---,---,---,---,---,
Capturas 1,08:34:23,---,---,---,---,---,---,
Capturas 1,08:34:48,---,---,---,---,---,---,
Capturas 1,08:35:12,---,---,---,---,---,---,
Capturas 1,08:35:38,---,---,---,---,---,---,
Capturas 1,08:36:08,---,---,---,---,---,---,
Capturas 1,08:36:32,---,---,---,---,---,---,
Capturas 1,08:36:58,---,---,---,---,---,---,
Capturas 1,08:37:21,---,---,---,---,---,---,
Capturas 1,08:37:47,---,---,---,---,---,---,
Capturas 1,08:38:15,---,---,---,---,---,---,
Capturas 1,08:38:42,---,---,---,---,---,---,
Capturas 1,08:39:08,---,---,---,---,---,---,
Capturas 1,08:39:33,---,---,---,---,---,---,
Capturas 1,08:39:56,---,---,---,---,---,---,
Capturas 1,08:40:20,---,---,---,---,---,---,
Capturas 1,08:40:45,---,---,---,---,---,---,
Capturas 1,08:41:09,---,---,---,---,---,---,
Capturas 1,08:41:33,---,---,---,---,---,---,
Capturas 1,08:41:57,---,---,---,---,---,---,
Capturas 1,08:42:20,---,---,---,---,---,---,
Capturas 1,08:42:47,---,---,---,---,---,---,
Capturas 1,08:43:12,---,---,---,---,---,---,
Capturas 1,08:43:38,---,---,---,---,---,---,
Capturas 1,08:44:02,---,---,---,---,---,---,
Capturas 1,08:44:26,---,---,---,---,---,---,
Capturas 1,08:44:53,---,---,---,---,---,---,
Capturas 1,08:45:18,---,---,---,---,---,---,
Capturas 1,08:45:42,---,---,---,---,---,---,
Capturas 1,08:46:09,---,---,---,---,---,---,
Capturas 1,08:46:36,---,---,---,---,---,---,
Capturas 1,08:47:00,---,---,---,---,---,---,
Capturas 1,08:47:24,---,---,---,---,---,---,
Capturas 1,08:47:51,---,---,---,---,---,---,
Capturas 1,08:48:17,---,---,---,---,---,---,
Capturas 1,08:48:45,---,---,---,---,---,---,
Capturas 1,08:49:11,---,---,---,---,---,---,
Capturas 1,08:49:36,---,---,---,---,---,---,
Capturas 1,08:50:01,---,---,---,---,---,---,
Capturas 1,08:50:26,---,---,---,---,---,---,
Capturas 1,08:50:53,---,---,---,---,---,---,
Capturas 1,08:51:19,---,---,---,---,---,---,
Capturas 1,08:51:43,---,---,---,---,---,---,
Capturas 1,08:52:11,---,---,---,---,---,---,
Capturas 1,08:52:36,---,---,---,---,---,---,
Capturas 1,08:53:01,---,---,---,---,---,---,
Capturas 1,08:53:21,1213,2,Off,---,---,---,
Capturas 1,08:53:49,---,---,---,---,---,---,
Capturas 1,08:54:15,---,---,---,---,---,---,
Capturas 1,08:54:41,---,---,---,---,---,---,
Capturas 1,08:55:06,---,---,---,---,---,---,
Capturas 1,08:55:32,---,---,---,---,---,---,
Capturas 1,08:55:57,---,---,---,---,---,---,
Capturas 1,08:56:20,---,---,---,---,---,---,
Capturas 1,08:56:47,---,---,---,---,---,---,
Capturas 1,08:57:11,---,---,---,---,---,---,
Capturas 1,08:57:37,---,---,---,---,---,---,
Capturas 1,08:58:02,---,---,---,---,---,---,
Capturas 1,08:58:30,---,---,---,---,---,---,
Capturas 1,08:58:55,---,---,---,---,---,---,
Capturas 1,08:59:23,---,---,---,---,---,---,
Capturas 1,08:59:46,---,---,---,---,---,---,
Capturas 1,09:00:11,---,---,---,---,---,---,
Capturas 1,09:00:34,---,---,---,---,---,---,
Capturas 1,09:00:57,---,---,---,---,---,---,
Capturas 1,09:01:24,---,---,---,---,---,---,
Capturas 1,09:01:50,---,---,---,---,---,---,
Capturas 1,09:02:15,---,---,---,---,---,---,
Capturas 1,09:02:40,---,---,---,---,---,---,
Capturas 1,09:03:05,---,---,---,---,---,---,
Capturas 1,09:03:31,---,---,---,---,---,---,
Capturas 1,09:03:55,---,---,---,---,---,---,
Capturas 1,09:04:21,---,---,---,---,---,---,
Capturas 1,09:04:45,---,---,---,---,---,---,
Capturas 1,09:05:11,---,---,---,---,---,---,
Capturas 1,09:05:38,---,---,---,---,---,---,
Capturas 1,09:06:03,---,---,---,---,---,---,
Capturas 1,09:06:28,---,---,---,---,---,---,
Capturas 1,09:06:53,---,---,---,---,---,---,
Capturas 1,09:07:18,---,---,---,---,---,---,
Capturas 1,09:07:43,---,---,---,---,---,---,
Capturas 1,09:08:08,---,---,---,---,---,---,
Capturas 1,09:08:33,---,---,---,---,---,---,
Capturas 1,09:08:59,---,---,---,---,---,---,
Capturas 1,09:09:25,---,---,---,---,---,---,
Capturas 1,09:09:50,---,---,---,---,---,---,
Capturas 1,09:10:14,---,---,---,---,---,---,
Capturas 1,09:10:39,---,---,---,---,---,---,
Capturas 1,09:11:03,---,---,---,---,---,---,
Capturas 1,09:11:27,---,---,---,---,---,---,
Capturas 1,09:11:53,---,---,---,---,---,---,
Capturas 1,09:12:17,---,---,---,---,---,---,
Capturas 1,09:12:45,---,---,---,---,---,---,
Capturas 1,09:13:10,---,---,---,---,---,---,
Capturas 1,09:13:35,---,---,---,---,---,---,
Capturas 1,09:14:00,---,---,---,---,---,---,
Capturas 1,09:14:25,---,---,---,---,---,---,
Capturas 1,09:14:48,---,---,---,---,---,---,
Capturas 1,09:15:15,---,---,---,---,---,---,
Capturas 1,09:15:39,---,---,---,---,---,---,
Capturas 1,09:16:03,---,---,---,---,---,---,
Capturas 1,09:16:28,---,---,---,---,---,---,
Capturas 1,09:16:52,---,---,---,---,---,---,
Capturas 1,09:17:16,---,---,---,---,---,---,
Capturas 1,09:17:41,---,---,---,---,---,---,
Capturas 1,09:18:06,---,---,---,---,---,---,
Capturas 1,09:18:31,---,---,---,---,---,---,
Capturas 1,09:18:56,---,---,---,---,---,---,
Capturas 1,09:19:22,---,---,---,---,---,---,
Capturas 1,09:19:47,---,---,---,---,---,---,
Capturas 1,09:20:11,---,---,---,---,---,---,
Capturas 1,09:20:36,---,---,---,---,---,---,
Capturas 1,09:21:01,---,---,---,---,---,---,
Capturas 1,09:21:26,---,---,---,---,---,---,
Capturas 1,09:21:51,---,---,---,---,---,---,
Capturas 1,09:22:14,---,---,---,---,---,---,
Capturas 1,09:22:41,---,---,---,---,---,---,
Capturas 1,09:23:06,---,---,---,---,---,---,
Capturas 1,09:23:33,---,---,---,---,---,---,
Capturas 1,09:23:57,---,---,---,---,---,---,
Capturas 1,09:24:22,---,---,---,---,---,---,
Capturas 1,09:24:46,---,---,---,---,---,---,
Capturas 1,09:25:11,---,---,---,---,---,---,
Capturas 1,09:25:36,---,---,---,---,---,---,
Capturas 1,09:26:01,---,---,---,---,---,---,
Capturas 1,09:26:26,---,---,---,---,---,---,
Capturas 1,09:26:50,---,---,---,---,---,---,
Capturas 1,09:27:16,---,---,---,---,---,---,
Capturas 1,09:27:41,---,---,---,---,---,---,
Capturas 1,09:28:06,---,---,---,---,---,---,
Capturas 1,09:28:31,---,---,---,---,---,---,
Capturas 1,09:28:55,---,---,---,---,---,---,
Capturas 1,09:29:20,---,---,---,---,---,---,
Capturas 1,09:29:45,---,---,---,---,---,---,
Capturas 1,09:30:09,---,---,---,---,---,---,
Capturas 1,09:30:34,---,---,---,---,---,---,
Capturas 1,09:30:58,---,---,---,---,---,---,
Capturas 1,09:31:23,---,---,---,---,---,---,
Capturas 1,09:31:48,---,---,---,---,---,---,
Capturas 1,09:32:13,---,---,---,---,---,---,
Capturas 1,09:32:38,---,---,---,---,---,---,
Capturas 1,09:33:03,---,---,---,---,---,---,
Capturas 1,09:33:28,---,---,---,---,---,---,
Capturas 1,09:33:53,---,---,---,---,---,---,
Capturas 1,09:34:18,---,---,---,---,---,---,
Capturas 1,09:34:43,---,---,---,---,---,---,
Capturas 1,09:35:09,---,---,---,---,---,---,
Capturas 1,09:35:33,---,---,---,---,---,---,
Capturas 1,09:35:58,---,---,---,---,---,---,
