Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,21:41:20,1693,8,---,---,---,---,
Starboard Temperature,21:45:34,1694,1,10,4,---,---,
Starboard Temperature,21:50:44,1694,2,10,3,---,---,
Starboard Temperature,21:56:21,1694,5,10,3,---,---,
Starboard Temperature,22:01:31,1694,4,10,3,---,---,
Starboard Temperature,22:07:09,1695,4,10,3,---,---,
Starboard Temperature,22:12:47,1695,2,10,3,---,---,
Starboard Temperature,22:18:24,1695,2,10,3,---,---,
Starboard Temperature,22:24:02,1695,3,10,3,---,---,
Starboard Temperature,22:29:40,1694,7,10,2,---,---,
Starboard Temperature,22:35:18,1694,2,10,3,---,---,
Starboard Temperature,22:40:55,1695,5,10,3,---,---,
Starboard Temperature,22:46:33,1694,9,10,2,---,---,
Starboard Temperature,22:51:45,---,---,---,---,---,---,
Starboard Temperature,22:55:03,---,---,---,---,---,---,
Starboard Temperature,22:58:22,---,---,---,---,---,---,
Starboard Temperature,23:02:36,---,---,---,---,---,---,
Starboard Temperature,23:06:20,1568,0,10,4,---,---,
Starboard Temperature,23:11:30,1678,1,10,3,---,---,
Starboard Temperature,23:17:09,---,---,---,---,---,---,
Starboard Temperature,23:19:12,1691,8,10,3,---,---,
Starboard Temperature,23:19:49,1692,6,10,3,---,---,
Starboard Temperature,23:20:27,1694,2,10,3,---,---,
Starboard Temperature,23:21:04,1694,6,10,3,---,---,
Starboard Temperature,23:21:41,1695,9,10,4,---,---,
Starboard Temperature,23:22:19,1697,3,10,3,---,---,
Starboard Temperature,23:22:56,1696,6,10,3,---,---,
Starboard Temperature,23:23:34,1696,6,10,4,---,---,
Starboard Temperature,23:24:11,1696,4,10,4,---,---,
Starboard Temperature,23:24:48,1696,4,10,3,---,---,
Starboard Temperature,23:25:26,1696,3,10,3,---,---,
Starboard Temperature,23:26:03,1696,3,10,3,---,---,
Starboard Temperature,23:26:41,1696,5,10,3,---,---,
Starboard Temperature,23:27:18,1696,1,10,3,---,---,
Starboard Temperature,23:27:55,1696,3,10,3,---,---,
Starboard Temperature,23:28:33,1696,0,10,3,---,---,
Starboard Temperature,23:29:10,1695,9,10,3,---,---,
Starboard Temperature,23:29:47,1695,7,10,3,---,---,
Starboard Temperature,23:30:26,1695,7,---,---,---,---,
Starboard Temperature,23:31:02,1695,7,10,3,---,---,
Starboard Temperature,23:31:39,1695,7,10,2,---,---,
Starboard Temperature,23:32:17,1695,8,10,3,---,---,
Starboard Temperature,23:32:54,1695,6,10,3,---,---,
Starboard Temperature,23:33:32,1695,3,10,3,---,---,
Starboard Temperature,23:34:10,1695,4,10,3,---,---,
Starboard Temperature,23:34:48,1695,2,10,3,---,---,
Starboard Temperature,23:35:25,1695,2,10,3,---,---,
Starboard Temperature,23:36:02,1695,2,10,2,---,---,
Starboard Temperature,23:36:39,1695,4,10,2,---,---,
Starboard Temperature,23:37:16,1695,1,10,3,---,---,
Starboard Temperature,23:37:53,1695,1,10,3,---,---,
Starboard Temperature,23:38:30,1695,3,10,2,---,---,
Starboard Temperature,23:39:07,1695,4,10,3,---,---,
Starboard Temperature,23:39:44,1695,1,10,3,---,---,
Starboard Temperature,23:40:21,1694,9,10,3,---,---,
Starboard Temperature,23:40:58,1695,3,10,3,---,---,
Starboard Temperature,23:41:35,1694,7,10,3,---,---,
Starboard Temperature,23:42:12,1694,8,10,3,---,---,
Starboard Temperature,23:42:49,1694,8,10,3,---,---,
Starboard Temperature,23:43:26,1694,9,10,3,---,---,
Starboard Temperature,23:44:04,1694,9,10,3,---,---,
Starboard Temperature,23:44:41,1694,5,10,3,---,---,
Starboard Temperature,23:45:18,1694,2,10,3,---,---,
Starboard Temperature,23:45:56,1694,7,10,3,---,---,
Starboard Temperature,23:46:33,1694,4,10,3,---,---,
Starboard Temperature,23:47:10,1694,4,10,3,---,---,
