[NOTUS TEXTFILE V3.3]
File Created: 22-oct-2019 17:27:34
Tow Date: 25-ago-2013 5:04:58


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,05:05:07,---,---,---,---,---,---,
C56S,05:05:31,---,---,---,---,---,---,
C56S,05:05:55,587,9,---,---,---,---,---,
C56S,06:23:05,589,5,24,0,---,---,---,---,
C56S,06:23:29,590,1,23,7,---,---,---,---,
C56S,06:23:54,589,4,23,6,---,---,---,---,
C56S,06:24:19,589,2,27,9,---,---,---,---,
C56S,06:24:44,589,4,23,1,---,---,---,---,
C56S,06:25:08,588,9,22,6,---,---,---,---,
C56S,06:25:32,589,9,23,7,---,---,---,---,
C56S,06:25:55,590,0,23,7,---,---,---,---,
C56S,06:26:18,589,3,23,7,---,---,---,---,
C56S,06:26:42,589,7,24,8,---,---,---,---,
C56S,06:27:05,589,7,23,4,---,---,---,---,
C56S,06:27:29,589,4,24,0,---,---,---,---,
C56S,06:27:51,589,1,24,6,---,---,---,---,
C56S,06:28:17,590,0,23,9,---,---,---,---,
C56S,06:28:40,590,4,23,6,---,---,---,---,
C56S,06:29:04,589,9,24,6,---,---,---,---,
C56S,06:29:27,589,9,24,5,---,---,---,---,
C56S,06:29:51,590,1,24,4,---,---,---,---,
C56S,06:30:15,590,0,23,3,---,---,---,---,
C56S,06:30:38,589,7,23,0,---,---,---,---,
C56S,06:31:02,589,4,23,7,---,---,---,---,
C56S,06:31:25,589,7,25,2,---,---,---,---,
C56S,06:31:49,591,2,24,1,---,---,---,---,
C56S,06:32:13,590,0,24,4,---,---,---,---,
C56S,06:32:36,590,0,24,4,---,---,---,---,
C56S,06:33:01,590,4,25,0,---,---,---,---,
C56S,06:33:25,589,5,24,6,---,---,---,---,
C56S,06:33:48,590,3,25,2,---,---,---,---,
C56S,06:34:12,590,0,24,6,---,---,---,---,
C56S,06:34:36,589,7,24,7,---,---,---,---,
C56S,06:34:59,589,4,23,3,---,---,---,---,
C56S,06:35:23,589,4,23,2,---,---,---,---,
C56S,06:35:46,589,7,22,9,---,---,---,---,
C56S,06:36:10,589,5,22,4,---,---,---,---,
C56S,06:36:34,590,0,22,4,---,---,---,---,
C56S,06:36:56,590,4,22,0,---,---,---,---,
C56S,06:37:49,590,4,22,4,---,---,---,---,
C56S,06:38:14,590,0,21,9,---,---,---,---,
C56S,06:38:37,593,9,20,7,---,---,---,---,
C56S,06:39:03,589,9,---,---,---,---,---,
C56S,06:39:22,589,7,23,4,---,---,---,---,
C56S,06:40:08,589,9,22,9,---,---,---,---,
C56S,06:40:31,589,6,22,7,---,---,---,---,
C56S,06:40:53,589,9,23,4,---,---,---,---,
C56S,06:41:17,589,3,24,2,---,---,---,---,
C56S,06:41:42,589,7,24,1,---,---,---,---,
C56S,06:42:06,589,9,23,7,---,---,---,---,
C56S,06:42:31,589,7,23,2,---,---,---,---,
C56S,06:42:56,590,2,23,0,---,---,---,---,
C56S,06:43:18,589,5,22,2,---,---,---,---,
C56S,06:43:41,589,0,22,9,---,---,---,---,
C56S,06:44:05,589,2,22,8,---,---,---,---,
C56S,06:44:27,589,2,22,8,---,---,---,---,
C56S,06:44:50,589,6,23,0,---,---,---,---,
C56S,06:45:13,589,3,22,5,---,---,---,---,
C56S,06:45:37,589,5,23,1,---,---,---,---,
C56S,06:46:02,589,2,23,2,---,---,---,---,
C56S,06:46:27,590,2,23,6,---,---,---,---,
C56S,06:46:52,589,3,23,3,---,---,---,---,
C56S,06:47:17,589,3,23,0,---,---,---,---,
C56S,06:47:40,589,2,23,5,---,---,---,---,
C56S,06:48:03,589,3,23,9,---,---,---,---,
C56S,06:48:28,589,4,23,3,---,---,---,---,
C56S,06:48:52,589,1,24,2,---,---,---,---,
C56S,06:49:15,589,5,23,1,---,---,---,---,
C56S,06:49:39,588,7,23,7,---,---,---,---,
C56S,06:50:02,589,9,22,5,---,---,---,---,
C56S,06:50:25,589,6,22,8,---,---,---,---,
C56S,06:50:49,590,4,23,0,---,---,---,---,
C56S,06:51:13,589,6,23,9,---,---,---,---,
C56S,06:51:41,---,---,---,---,---,---,
C56S,06:52:02,589,5,24,3,---,---,---,---,
C56S,06:52:25,589,7,23,3,---,---,---,---,
C56S,06:52:49,590,2,24,1,---,---,---,---,
C56S,06:53:12,590,2,23,8,---,---,---,---,
C56S,06:53:36,590,2,23,3,---,---,---,---,
C56S,06:53:58,589,9,22,6,---,---,---,---,
C56S,06:54:22,590,1,22,5,---,---,---,---,
C56S,06:54:46,589,9,22,5,---,---,---,---,
C56S,06:55:09,590,0,22,5,---,---,---,---,
C56S,06:55:34,589,4,22,1,---,---,---,---,
C56S,06:55:58,589,4,22,8,---,---,---,---,
C56S,06:56:21,590,2,26,4,---,---,---,---,
C56S,06:56:45,590,0,22,9,---,---,---,---,
C56S,06:57:10,590,3,22,7,---,---,---,---,
C56S,06:57:35,589,7,22,8,---,---,---,---,
C56S,06:57:58,590,1,22,4,---,---,---,---,
C56S,06:58:21,590,0,22,4,---,---,---,---,
C56S,06:58:44,590,7,---,---,---,---,---,
C56S,06:59:06,589,6,22,7,---,---,---,---,
C56S,06:59:28,592,4,22,9,---,---,---,---,
C56S,06:59:50,590,2,22,9,---,---,---,---,
C56S,07:00:13,590,1,22,4,---,---,---,---,
C56S,07:00:37,590,4,22,6,---,---,---,---,
C56S,07:01:02,589,4,23,0,---,---,---,---,
C56S,07:01:25,589,3,23,1,---,---,---,---,
C56S,07:01:49,589,8,22,8,---,---,---,---,
C56S,07:02:11,590,3,22,3,---,---,---,---,
