Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,00:25:55,1499,5,11,8,---,---,
Starboard Temperature,00:26:34,---,---,---,---,---,---,
Starboard Temperature,00:27:10,1499,5,11,8,---,---,
Starboard Temperature,00:27:46,1499,6,---,---,---,---,
Starboard Temperature,00:28:22,1499,5,11,7,---,---,
Starboard Temperature,00:28:59,1499,0,12,1,---,---,
Starboard Temperature,00:29:36,1498,7,---,---,---,---,
Starboard Temperature,00:30:13,---,40,0,---,---,---,
Starboard Temperature,00:30:49,1499,7,11,7,---,---,
Starboard Temperature,00:31:26,1499,7,11,7,---,---,
Starboard Temperature,00:32:03,1499,4,11,6,---,---,
Starboard Temperature,00:32:43,1499,7,---,---,---,---,
Starboard Temperature,00:33:22,1499,4,---,---,---,---,
Starboard Temperature,00:34:03,---,---,---,---,---,---,
Starboard Temperature,00:34:40,---,---,---,---,---,---,
Starboard Temperature,00:35:17,1499,5,11,5,---,---,
Starboard Temperature,00:35:54,1499,7,11,5,---,---,
