Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Abertura,Datos1(m)Abertura
2019-11-27 04:20:00,1268.2551912568306,39.87263157894737,1340.3037634408602,7.630645161290322,1265.135164835165,96.67252747252748
2019-11-27 04:24:00,1259.5120218579236,39.7721052631579,1332.5752688172042,7.812903225806452,1255.9818681318682,96.12197802197802
2019-11-27 04:28:00,1250.7688524590164,39.671578947368424,1324.8467741935483,7.995161290322581,1246.8285714285714,95.57142857142857
2019-11-27 04:32:00,1242.0256830601093,39.57105263157895,1317.1182795698924,8.177419354838708,1237.6752747252747,95.02087912087913
2019-11-27 04:36:00,1233.2825136612023,39.47052631578948,1309.3897849462364,8.359677419354838,1228.5219780219782,94.47032967032968
2019-11-27 04:40:00,1224.5393442622951,39.370000000000005,1301.6612903225807,8.541935483870967,1219.3686813186814,93.91978021978022
2019-11-27 04:44:00,1215.796174863388,39.269473684210524,1293.9327956989248,8.724193548387095,1210.2153846153847,93.36923076923077
2019-11-27 04:48:00,1207.053005464481,39.16894736842105,1286.2043010752689,8.906451612903226,1201.062087912088,92.81868131868131
2019-11-27 04:52:00,1198.3098360655738,39.06842105263158,1278.475806451613,9.088709677419354,1191.9087912087912,92.26813186813186
2019-11-27 04:56:00,1189.5666666666666,38.967894736842105,1270.747311827957,9.270967741935483,1182.7554945054944,91.71758241758242
2019-11-27 05:00:00,1180.8234972677596,38.86736842105263,1263.018817204301,9.453225806451611,1173.6021978021977,91.16703296703297
2019-11-27 05:04:00,1172.0803278688525,38.76684210526316,1255.2903225806451,9.635483870967741,1164.4489010989012,90.61648351648353
2019-11-27 05:08:00,1163.3371584699453,38.666315789473686,1247.5618279569892,9.81774193548387,1155.2956043956044,90.06593406593407
2019-11-27 05:12:00,1154.5939890710383,38.56578947368421,1239.8333333333333,9.999999999999998,1146.142307692308,89.51538461538462
2019-11-27 05:16:00,1145.8508196721311,38.46526315789474,1232.1048387096776,10.182258064516128,1136.9890109890111,88.96483516483516
2019-11-27 05:20:00,1137.107650273224,38.364736842105266,1224.3763440860216,10.364516129032257,1127.8357142857144,88.41428571428571
