Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Alineamiento de Estribor,Datos1(m)Alineamiento de Estribor,Escalas(m)Abertura,Datos1(m)Abertura,Escalas(m)Starboard Temperature,Datos1(°C)Starboard Temperature
2019-11-27 08:28:00,1716.788125,-9.036067708333333,,,1433.709947643979,-0.7832460732984294,1716.8778125,0.6038541666666667,1716.4372395833334,127.02869791666666,1716.8153645833333,10.462586805555556
2019-11-27 08:32:00,1716.555,-9.007291666666667,,,1430.7012216404887,-0.7909249563699826,1716.6474999999998,0.6058333333333333,1716.2104166666666,127.19208333333333,1716.5854166666668,10.463194444444445
2019-11-27 08:36:00,1716.321875,-8.978515625,,,1427.6924956369983,-0.7986038394415359,1716.4171875,0.6078125000000001,1715.98359375,127.35546875,1716.35546875,10.463802083333334
2019-11-27 08:40:00,1716.0887500000001,-8.949739583333333,,,1424.6837696335078,-0.8062827225130891,1716.1868749999999,0.6097916666666667,1715.7567708333333,127.51885416666667,1716.1255208333334,10.464409722222223
2019-11-27 08:44:00,1715.8556250000001,-8.920963541666666,,,1421.6750436300174,-0.8139616055846424,1715.9565624999998,0.6117708333333334,1715.5299479166667,127.68223958333333,1715.8955729166667,10.465017361111112
2019-11-27 08:48:00,1715.6225000000002,-8.8921875,,,1418.666317626527,-0.8216404886561955,1715.72625,0.61375,1715.303125,127.845625,1715.665625,10.465625000000001
2019-11-27 08:52:00,1715.3893750000002,-8.863411458333333,,,1415.6575916230368,-0.8293193717277488,1715.4959374999999,0.6157291666666667,1715.0763020833333,128.00901041666665,1715.4356770833333,10.46623263888889
2019-11-27 08:56:00,1715.15625,-8.834635416666666,,,1412.6488656195463,-0.836998254799302,1715.265625,0.6177083333333334,1714.8494791666667,128.17239583333333,1715.2057291666667,10.466840277777779
2019-11-27 09:00:00,1714.923125,-8.805859375,,,1409.6401396160559,-0.8446771378708553,1715.0353125,0.6196875000000001,1714.62265625,128.33578125,1714.9757812500002,10.467447916666668
2019-11-27 09:04:00,1714.69,-8.777083333333334,,,1406.6314136125654,-0.8523560209424085,1714.8049999999998,0.6216666666666667,1714.3958333333333,128.49916666666667,1714.7458333333334,10.468055555555557
2019-11-27 09:08:00,1714.456875,-8.748307291666666,,,1403.622687609075,-0.8600349040139617,1714.5746875,0.6236458333333333,1714.1690104166667,128.66255208333334,1714.5158854166668,10.468663194444446
2019-11-27 09:12:00,1714.22375,-8.71953125,,,1400.6139616055846,-0.8677137870855149,1714.344375,0.6256250000000001,1713.9421875,128.8259375,1714.2859375,10.469270833333335
2019-11-27 09:16:00,1713.9906250000001,-8.690755208333332,,,1397.6052356020941,-0.8753926701570681,1714.1140624999998,0.6276041666666667,1713.7153645833332,128.98932291666665,1714.0559895833335,10.469878472222224
2019-11-27 09:20:00,1713.7575000000002,-8.661979166666667,,,1394.596509598604,-0.8830715532286214,1713.88375,0.6295833333333334,1713.4885416666666,129.15270833333332,1713.8260416666667,10.470486111111112
2019-11-27 09:24:00,1713.5243750000002,-8.633203125,,,1391.5877835951135,-0.8907504363001746,1713.6534374999999,0.6315625,1713.26171875,129.31609375,1713.5960937500001,10.471093750000001
2019-11-27 09:28:00,1713.29125,-8.604427083333333,,,1388.579057591623,-0.8984293193717279,1713.4231249999998,0.6335416666666667,1713.0348958333334,129.47947916666666,1713.3661458333333,10.47170138888889
2019-11-27 09:32:00,1713.058125,-8.575651041666667,,,1385.5703315881326,-0.906108202443281,1713.1928125,0.6355208333333333,1712.8080729166666,129.64286458333333,1713.1361979166668,10.47230902777778
2019-11-27 09:36:00,1712.825,-8.546875,,,1382.5616055846422,-0.9137870855148343,1712.9624999999999,0.6375000000000001,1712.58125,129.80625,1712.90625,10.472916666666666
2019-11-27 09:40:00,1712.591875,-8.518098958333333,,,1379.552879581152,-0.9214659685863875,1712.7321874999998,0.6394791666666667,1712.3544270833333,129.96963541666668,1712.6763020833334,10.473524305555555
2019-11-27 09:44:00,1712.35875,-8.489322916666666,,,1376.5441535776613,-0.9291448516579408,1712.501875,0.6414583333333334,1712.1276041666667,130.13302083333332,1712.4463541666667,10.474131944444444
2019-11-27 09:48:00,1712.1256250000001,-8.460546875,,,1373.535427574171,-0.936823734729494,1712.2715624999998,0.6434375000000001,1711.90078125,130.29640625,1712.21640625,10.474739583333333
2019-11-27 09:52:00,1711.8925000000002,-8.431770833333333,,,1370.5267015706806,-0.9445026178010473,1712.04125,0.6454166666666667,1711.6739583333333,130.45979166666666,1711.9864583333335,10.475347222222222
2019-11-27 09:56:00,1711.6593750000002,-8.402994791666666,,,1367.5179755671902,-0.9521815008726005,1711.8109375,0.6473958333333334,1711.4471354166667,130.62317708333333,1711.7565104166667,10.475954861111111
2019-11-27 10:00:00,1711.4262500000002,-8.37421875,,,1364.5092495636998,-0.9598603839441537,1711.5806249999998,0.649375,1711.2203125,130.7865625,1711.5265625000002,10.4765625
2019-11-27 10:04:00,1711.193125,-8.345442708333334,,,1361.5005235602093,-0.9675392670157069,1711.3503125,0.6513541666666667,1710.9934895833333,130.94994791666667,1711.2966145833334,10.477170138888889
2019-11-27 10:08:00,1710.96,-8.316666666666666,,,1358.4917975567191,-0.9752181500872602,1711.12,0.6533333333333333,1710.7666666666667,131.11333333333334,1711.0666666666668,10.477777777777778
2019-11-27 10:12:00,1710.726875,-8.287890625,,,1355.4830715532287,-0.9828970331588134,1710.8896874999998,0.6553125,1710.53984375,131.27671875,1710.83671875,10.478385416666667
2019-11-27 10:16:00,1710.49375,-8.259114583333332,,,1352.4743455497382,-0.9905759162303666,1710.659375,0.6572916666666667,1710.3130208333332,131.44010416666666,1710.6067708333335,10.478993055555556
2019-11-27 10:20:00,1710.2606250000001,-8.230338541666667,,,1349.4656195462478,-0.9982547993019198,1710.4290624999999,0.6592708333333334,1710.0861979166666,131.60348958333333,1710.3768229166667,10.479600694444445
2019-11-27 10:24:00,1710.0275000000001,-8.2015625,,,1346.4568935427574,-1.005933682373473,1710.1987499999998,0.6612500000000001,1709.859375,131.766875,1710.1468750000001,10.480208333333334
2019-11-27 10:28:00,1709.7943750000002,-8.172786458333333,,,1343.4481675392672,-1.0136125654450263,1709.9684375,0.6632291666666668,1709.6325520833334,131.93026041666667,1709.9169270833333,10.480815972222222
2019-11-27 10:32:00,1709.5612500000002,-8.144010416666667,,,1340.4394415357765,-1.0212914485165796,1709.7381249999999,0.6652083333333334,1709.4057291666666,132.09364583333334,1709.6869791666668,10.481423611111111
2019-11-27 10:36:00,1709.3281250000002,-8.115234375,,,1337.4307155322863,-1.0289703315881327,1709.5078125,0.6671875,1709.17890625,132.25703125,1709.45703125,10.48203125
2019-11-27 10:40:00,1709.095,-8.086458333333333,,,1334.4219895287958,-1.036649214659686,1709.2775,0.6691666666666667,1708.9520833333333,132.42041666666665,1709.2270833333334,10.48263888888889
2019-11-27 10:44:00,1708.861875,-8.057682291666666,,,1331.4132635253054,-1.0443280977312392,1709.0471874999998,0.6711458333333333,1708.7252604166667,132.58380208333332,1708.9971354166669,10.483246527777778
2019-11-27 10:48:00,1708.62875,-8.02890625,,,1328.404537521815,-1.0520069808027925,1708.816875,0.673125,1708.4984375,132.7471875,1708.7671875,10.483854166666667
2019-11-27 10:52:00,1708.395625,-8.000130208333333,,,1325.3958115183245,-1.0596858638743456,1708.5865625,0.6751041666666667,1708.2716145833333,132.91057291666667,1708.5372395833335,10.484461805555556
2019-11-27 10:56:00,1708.1625000000001,-7.971354166666666,,,1322.3870855148343,-1.067364746945899,1708.3562499999998,0.6770833333333334,1708.0447916666667,133.07395833333334,1708.3072916666667,10.485069444444445
2019-11-27 11:00:00,1707.9293750000002,-7.942578125,,,1319.378359511344,-1.0750436300174522,1708.1259375,0.6790625000000001,1707.81796875,133.23734375,1708.0773437500002,10.485677083333334
2019-11-27 11:04:00,1707.6962500000002,-7.913802083333333,,,1316.3696335078535,-1.0827225130890055,1707.8956249999999,0.6810416666666668,1707.5911458333333,133.40072916666665,1707.8473958333334,10.486284722222223
